address line1,city,state province,postal code,latitude,longitude,known use,owner,owner type,bbl,area acres
457 RALPH AVENUE,,,11233,40.67344661752056,-73.9218733286182,community garden,New York City Department of Parks and Recreation,public,,0.211373737374111928
        FULTON STREET,,,11238,40.68570818386634,-73.97106410088516,community garden,New York City Department of Parks and Recreation,public,,0.141528466483262726
786 BLAKE AVENUE,,,11207,40.66841055606412,-73.88954679863613,community garden,New York City Department of Parks and Recreation,public,,0.174642332415369154
        GLENMORE AVENUE,,NY,11207,40.674190127,-73.8877493298,community garden,New York City Department of Parks and Recreation,public,3039970010,0.057392102846750000
        GRANITE STREET,,,11207,40.682391207319725,-73.907597987656,community garden,New York City Department of Parks and Recreation,public,,0.177934343434658734
754 HOPKINSON AVENUE,,,11212,40.6618957966143,-73.9119497652399,community garden,New York City Department of Parks and Recreation,public,,0.105340449954272981
184 MONTAUK AVENUE,,,11208,40.674707806758484,-73.87845358162996,community garden,New York City Department of Parks and Recreation,public,,0.249008264463251160
        STRAUSS STREET,,NY,11212,40.6693802337318,-73.9161973980597,community garden,New York City Department of Parks and Recreation,public,3034940004,0.229568411387000000
        BARBEY STREET,,,11207,40.673765862740204,-73.88735449455281,community garden,New York City Department of Parks and Recreation,public,,0.190098025711998929
181 BLAKE AVENUE,,NY,11212,40.6643226777,-73.9168760814,community garden,New York City Department of Parks and Recreation,public,3035530021,0.229568411387000000
557 SHEPHERD AVENUE,,,11208,40.67073826940653,-73.87966103424046,community garden,New York City Department of Parks and Recreation,public,,0.119959136822985754
2556 PITKIN AVENUE,,NY,11208,40.674316,-73.87781,community garden,New York City Department of Parks and Recreation,public,3040240013,0.082231404958823400
590 SCHENCK AVENUE,,NY,11207,40.6660156217,-73.887182743,,New York City Department of Parks and Recreation,public,3040750140,0.321395775941800000
        EAST 4 STREET,,NY,11218,40.6483862618,-73.977123369,community garden,New York City Department of Parks and Recreation,public,3053180038,0.192837465565080000
436 VAN SICLEN AVENUE,,NY,11207,40.6687352818,-73.8895825208,community garden,New York City Department of Parks and Recreation,public,3040410052,0.043617998163530000
        JEROME STREET,,NY,11207,40.6706447230499,-73.8858230875673,community garden,New York City Department of Parks and Recreation,public,3040460121,0.036639118457365200
328 NEW LOTS AVENUE,,NY,11207,40.660996,-73.894443,community garden,New York City Department of Parks and Recreation,public,3042970001,0.036914600551029600
62 GOODWIN PLACE,,NY,11221,40.6910062819,-73.9231929238,,BUENA VIDA CORPORATION,private,3032930042,0.034435261708050000
        DOSCHER STREET,,NY,11208,40.6736850565,-73.8719778612,community garden,New York City Department of Parks and Recreation,public,3042490072,0.086317722681512000
212 MONTAUK AVENUE,,NY,11208,40.6738619778,-73.8781604708,community garden,New York City Department of Parks and Recreation,public,3040230028,0.091827364554800000
203 HERZL STREET,,,11212,40.66523448214347,-73.91391347382293,community garden,New York City Department of Parks and Recreation,public,,0.121556703397827887
        18 AVENUE,,NY,11218,40.6312699475,-73.9754005057,,Brooklyn Public Library,public,3054160014,0.207047750229935300
        ROCKAWAY PARKWAY,,NY,11236,40.642322562,-73.8996862706,,Brooklyn Public Library,public,3082040167,0.046051423324232200
664 EAST 105 STREET,,,11236,40.649227419317235,-73.89698964147459,community garden,New York City Department of Parks and Recreation,public,,0.191928145087576093
        EUCLID AVENUE,,NY,11208,40.6736559445,-73.8717622061,community garden,New York City Department of Parks and Recreation,public,3042490086,0.098668503214132600
        JOHNSON AVENUE,,NY,11237,40.708648739,-73.9303972587,,New York City Transit (MTA),public,3029740162,0.741046831957236000
301 BERRY STREET,,,11211,40.71335351073485,-73.96353817005766,community garden,New York City Department of Parks and Recreation,public,,0.136501377410710200
        OLIVE STREET,,,11211,40.71330049014057,-73.93905163233434,community garden,New York City Department of Parks and Recreation,public,,0.089821854912923168
349 SCHENCK AVENUE,,NY,11207,40.6723432002,-73.8880660697,community garden,New York City Department of Parks and Recreation,public,3040120004,0.057392102846750000
