address line1,city,state province,postal code,latitude,longitude,known use,owner,owner type,bbl,area acres
195 EAST 138 STREET,,NY,10451,40.8129591541,-73.929034607,,New York City Department of Citywide Administrative Services,public,2023410150,0.132575757575992500
0 THIRD AVENUE,,NY,10451,40.8094799234,-73.9323494431,,New York City Department of Citywide Administrative Services,public,2023190200,1.971992653814330000
227 WEST 115 STREET,,NY,10026,40.803354445199986,-73.9543508874,community green space,New York City Department of Parks and Recreation,public,1018310016,0.043434343434420400
2501 BRUCKNER BLVD,,NY,10465,40.8292669688,-73.8420086692,,New York City Department of Citywide Administrative Services,public,2052930175,0.212350780532975000
HARLEM RIVER WASHINGT,,NY,,40.8498951561,-73.9242080434,,New York City Department of Citywide Administrative Services,public,2028840072,2.123209366394946900
CROSS BRONX EXPWY,,NY,10472,40.8318530019,-73.8579238277,,New York City Department of Citywide Administrative Services,public,2037940055,0.007782369146019300
WARD AVENUE,,NY,10472,40.8243487118,-73.8765689565,,New York City Department of Citywide Administrative Services,public,2037150062,0.021074380165326600
CORNELL AVENUE,,NY,10473,40.8081433772,-73.8500781552,,New York City Department of Citywide Administrative Services,public,2034480001,3.455876951337620600
AMETHYST ST,,NY,10462,40.8484577529,-73.8677109783,,New York City Department of Citywide Administrative Services,public,2042540019,0.0
ROCHELLE ST,,NY,10464,40.8380140867,-73.7853394838,,New York City Department of Citywide Administrative Services,public,2056240135,2.677823691464800200
ALDERTON STREET,,NY,,40.7177680369,-73.8581124527,,New York City Department of Citywide Administrative Services,public,4031500078,0.0
46 STREET,,NY,11377,40.7336776139,-73.9201372437,,New York City Department of Citywide Administrative Services,public,4023080018,0.004591368227740000
63 ROAD,,NY,11367,40.7397791558,-73.8312142534,,New York City Department of Citywide Administrative Services,public,4063910024,0.107897153351890000
33 AVENUE,,NY,11363,40.7774262168,-73.7461893301,,New York City Department of Citywide Administrative Services,public,4080370043,0.041322314049660000
135 DRIVE,,NY,11417,40.672025861,-73.8361602248,,New York City Department of Citywide Administrative Services,public,4115360075,0.006795224977055200
130 AVENUE,,NY,11434,40.6795064765,-73.7668689095,,New York City Department of Citywide Administrative Services,public,4125350060,0.041712580349017900
135 AVENUE,,NY,11422,40.6701935486,-73.7288617698,,New York City Department of Citywide Administrative Services,public,4132270011,0.046533516988144900
FRANKTON STREET,,NY,11422,40.6587079922,-73.7273374494,,New York City Department of Citywide Administrative Services,public,4136020015,0.066574839302230000
HAWTREE AVENUE,,NY,,40.6554104615,-73.8317057698,,New York City Department of Citywide Administrative Services,public,4142280778,0.016069788797090000
RUSSELL STREET,,NY,,40.6553105051,-73.8306898592,,New York City Department of Citywide Administrative Services,public,4142281029,0.044995408631852000
BED OF 163 AVENUE,,NY,,40.6536386718,-73.8300067458,,New York City Department of Citywide Administrative Services,public,4142310191,0.019214876033091900
160 AVENUE,,NY,11414,40.6586670366,-73.8300529743,,New York City Department of Citywide Administrative Services,public,4142340298,0.025826446281037500
160 AVENUE,,NY,11414,40.6586515459,-73.8299692692,,New York City Department of Citywide Administrative Services,public,4142340299,0.019513314967895000
160 AVENUE,,NY,11414,40.6586375223,-73.8298305424,,New York City Department of Citywide Administrative Services,public,4142340300,0.029292929292981200
HAWTREE CREEK R,,NY,11414,40.6571720063,-73.8294337314,,New York City Department of Citywide Administrative Services,public,4142340510,0.029292929292981200
HAWTREE CREEK R,,NY,11414,40.6572084109,-73.829352652,,New York City Department of Citywide Administrative Services,public,4142340513,0.020592286501413900
0 FLYNN CANAL,,NY,,40.6554282984,-73.830023746,,New York City Department of Citywide Administrative Services,public,4142391080,0.120982552800949000
DAVENPORT COURT,,NY,11414,40.6534973072,-73.8300287984,,New York City Department of Citywide Administrative Services,public,4142431119,0.046028466483093500
514-20 CROSS BAY BOULEVARD,,NY,11693,40.6108066775,-73.8183947044,,New York City Department of Citywide Administrative Services,public,4154000059,0.546372819101060000
27 STREET,,NY,11105,40.7798635676,-73.9099110852,,New York City Department of Citywide Administrative Services,public,4008590010,0.020661157024830000
25 AVENUE,,NY,11370,40.7634243062,-73.8864779691,,New York City Department of Citywide Administrative Services,public,4010940137,0.011065197428853400
BROADWAY,,NY,11373,40.7412031915,-73.8796195772,,New York City Department of Citywide Administrative Services,public,4015790002,0.030670339761303200
4316 111 STREET,,NY,11368,40.7489314207,-73.8547775654,,New York City Department of Citywide Administrative Services,public,4019990038,0.057392102846750000
105-45 62 DRIVE,,NY,11375,40.7356743113,-73.8518510573,,New York City Department of Citywide Administrative Services,public,4021440039,0.052341597796236000
0 46 STREET,,NY,11377,40.733458723,-73.9201781217,,New York City Department of Citywide Administrative Services,public,4023080014,0.004591368227740000
46 STREET,,NY,11377,40.7335135582,-73.9201693077,,New York City Department of Citywide Administrative Services,public,4023080015,0.004591368227740000
46 STREET,,NY,11377,40.7335669933,-73.9201588643,,New York City Department of Citywide Administrative Services,public,4023080016,0.004591368227740000
46 STREET,,NY,11377,40.7336218977,-73.9201481331,,New York City Department of Citywide Administrative Services,public,4023080017,0.004591368227740000
46 STREET,,NY,11377,40.7337306347,-73.9201268804,,New York City Department of Citywide Administrative Services,public,4023080019,0.004591368227740000
46 STREET,,NY,11377,40.7337846379,-73.920116326,,New York City Department of Citywide Administrative Services,public,4023080020,0.004591368227740000
48 AVENUE,,NY,11377,40.7375722402,-73.9059427087,,New York City Department of Citywide Administrative Services,public,4023290040,0.066115702479456000
51-73 72 PLACE,,NY,,40.7338359657,-73.8909381055,,New York City Department of Citywide Administrative Services,public,4024850001,0.113636363636565000
0 56 ROAD,,NY,11378,40.726253283,-73.9227618986,,New York City Department of Citywide Administrative Services,public,4025520075,0.053351698806338800
0 56 ROAD,,NY,11378,40.7260713381,-73.9206102792,,New York City Department of Citywide Administrative Services,public,4025520142,0.065587695133265900
56 ROAD,,NY,11378,40.7253911894,-73.9170982989,,New York City Department of Citywide Administrative Services,public,4025750075,0.107208448117729000
62 STREET,,NY,11379,40.7143422367,-73.8996702541,,New York City Department of Citywide Administrative Services,public,4027640049,0.012626262626285000
72 PLACE,,NY,11378,40.7276139338,-73.8901063175,,New York City Department of Citywide Administrative Services,public,4028080154,0.097566574839475000
71 STREET,,NY,,40.7276674491,-73.8903649664,,New York City Department of Citywide Administrative Services,public,4028090070,0.022956841138700000
ELIOT AVENUE,,NY,11379,40.7222829245,-73.8846906268,,New York City Department of Citywide Administrative Services,public,4029300011,0.0
64 ROAD,,NY,11374,40.7248640467,-73.8608037163,,New York City Department of Citywide Administrative Services,public,4031040130,9.312396694231377600
SELFRIDGE STREE,,NY,,40.7191714698,-73.8579477128,,New York City Department of Citywide Administrative Services,public,4031500094,0.021900826446319800
97 FLEET STREET,,NY,,40.7186864009,-73.85788494609999,,New York City Department of Citywide Administrative Services,public,4031500098,0.021946740128597200
92-09 METROPOLITAN AVENUE,,NY,,40.712629075,-73.8574431824,,New York City Department of Citywide Administrative Services,public,4031790006,0.0
METROPOLITAN AV,,NY,,40.7089846624,-73.8904662285,,New York City Department of Citywide Administrative Services,public,4036670100,0.320293847567142400
76 AVENUE,,NY,11385,40.7073233534,-73.8601405299,,New York City Department of Citywide Administrative Services,public,4038570037,0.0
73 AVENUE,,NY,,40.7101940087,-73.8572493748,,New York City Department of Citywide Administrative Services,public,4038860695,0.308539944904128000
5 AVENUE,,NY,11356,40.7932071904,-73.8470464277,,New York City Department of Citywide Administrative Services,public,4039160024,0.063590449954199000
0,,NY,11356,40.7941487685,-73.8471181706,,New York City Department of Citywide Administrative Services,public,4039160026,0.252525252525700000
0,,NY,11356,40.7947804152,-73.8473468481,,New York City Department of Citywide Administrative Services,public,4039160027,0.238223140496289900
0,,NY,11356,40.7933558746,-73.8456923664,,New York City Department of Citywide Administrative Services,public,4039160035,0.344352617080500000
119 STREET,,NY,,40.77517376,-73.849063121,,New York City Department of Citywide Administrative Services,public,4042550001,1.377410468322000000
302-4 E 2 ST,,NY,10009,40.72015633595163,-73.9792138338089,,New York City Department of Housing Preservation and Development,public,1003720049,0.121625344352832600
174 E 108 ST,,NY,10029,40.7929640831,-73.9445239284,,New York City Department of Housing Preservation and Development,public,1016350043,0.039393939394009200
2735 8 AVENUE,,NY,10039,40.8234731343,-73.9418861899,,New York City Department of Housing Preservation and Development,public,1020450013,0.064577594123163100
209-11 EAST 125 STREET,,NY,10035,40.8036910369,-73.9350766469,,New York City Department of Housing Preservation and Development,public,1017900006,0.114692378328945200
204 EAST 126 STREET,,NY,10035,40.8038555021,-73.9346899939,,New York City Department of Housing Preservation and Development,public,1017900041,0.137626262626506500
13 WEST 119 STREET,,NY,10026,40.80301028089998,-73.9455558214,community garden,New York City Department of Parks and Recreation,public,1017180031,0.021808999081765000
119 STREET,,NY,,40.7738749037,-73.8490015388,,New York City Department of Citywide Administrative Services,public,4042900001,2.180899908176500000
119 STREET,,NY,11354,40.7737072732,-73.8487750734,,New York City Department of Citywide Administrative Services,public,4042920132,0.127043158861565800
88 AVENUE,,NY,11427,40.7305753164,-73.7332260314,,New York City Department of Citywide Administrative Services,public,4079540139,0.239256198347531400
MORENCI LANE,,NY,11362,40.7647716476,-73.7343774873,,New York City Department of Citywide Administrative Services,public,4082350145,0.040266299357279800
ATLANTIC AVENUE,,NY,11421,40.6884458648,-73.8487367505,,New York City Department of Citywide Administrative Services,public,4089910295,0.016414141414170500
104-82 124 STREET,,NY,11419,40.6855706667,-73.8192980332,,New York City Department of Citywide Administrative Services,public,4095770039,0.047635445362802500
106-13 142 STREET,,NY,11435,40.6899597926,-73.80719388,,New York City Department of Citywide Administrative Services,public,4100400053,0.329155188246680600
157 STREET,,NY,11433,40.7005203425,-73.8013693018,,New York City Department of Citywide Administrative Services,public,4101090102,0.184733700643118900
WATSON PLACE,,NY,11433,40.7012291115,-73.7792130716,,New York City Department of Citywide Administrative Services,public,4102520140,0.018365472910960000
LIBERTY AVENUE,,NY,11423,40.7057916729,-73.7744555299,,New York City Department of Citywide Administrative Services,public,4103530065,0.086317722681512000
MURDOCK AVENUE,,NY,11412,40.6978058475,-73.7644839302,,New York City Department of Citywide Administrative Services,public,4104210044,0.010858585858605100
DESARC ROAD,,NY,11417,40.6745905499,-73.8473738361,,New York City Department of Citywide Administrative Services,public,4113700039,0.019283746556508000
SAPPHIRE STREET,,NY,11414,40.6676254765,-73.8565520334,,New York City Department of Citywide Administrative Services,public,4114100048,0.054407713498719000
NORTH CONDUIT B,,NY,11417,40.6668657222,-73.8331831915,,New York City Department of Citywide Administrative Services,public,4115620100,0.008723599632706000
HAWTREE AVENUE,,NY,11417,40.6692882801,-73.8349004563,,New York City Department of Citywide Administrative Services,public,4115620159,0.516528925620750000
LINCOLN STREET,,NY,11420,40.6792903336,-73.8076667822,,New York City Department of Citywide Administrative Services,public,4116750023,0.004017447199272500
LINCOLN STREET,,NY,11420,40.6792209337,-73.8076475615,,New York City Department of Citywide Administrative Services,public,4116750024,0.009297520661173500
SUNRISE HIGHWAY,,NY,,40.6652222497,-73.8187149757,,New York City Department of Citywide Administrative Services,public,4118480050,0.629017447200380000
142 PLACE,,NY,11436,40.6752652554,-73.7978639746,,New York City Department of Citywide Administrative Services,public,4120380013,0.069329660238874000
LAKEVIEW BLVD E,,NY,11434,40.6805931662,-73.7844005066,,New York City Department of Citywide Administrative Services,public,4122460007,0.005509641873288000
118 ROAD,,NY,11434,40.6836623921,-73.779197571,,New York City Department of Citywide Administrative Services,public,4123630101,0.018365472910960000
LOVINGHAM PLACE,,NY,11412,40.69134855454098,-73.76484632492065,,New York City Department of Citywide Administrative Services,public,4124370075,0.039944903581338000
119 DRIVE,,NY,11412,40.686707107,-73.7623241787,,New York City Department of Citywide Administrative Services,public,4124550202,0.013934802571190900
24315 130 ROAD,,NY,11422,40.6776588466,-73.7277610158,,New York City Department of Citywide Administrative Services,public,4129190300,0.041322314049660000
HOOK CREEK BLVD,,NY,11422,40.6745491198,-73.7275762301,,New York City Department of Citywide Administrative Services,public,4129810122,0.006198347107449000
17924 145 DRIVE,,NY,11434,40.66358141,-73.765600191,,New York City Department of Citywide Administrative Services,public,4133440032,0.059802571166313500
ROCKAWAY BOULEV,,NY,11413,40.6548494945,-73.7644842829,,New York City Department of Citywide Administrative Services,public,4134200008,0.107897153351890000
SPRINGFIELD BLVD,,NY,11413,40.6564927997,-73.7636738362,,New York City Department of Citywide Administrative Services,public,4134320006,0.101859504132411900
150 ROAD,,NY,11434,40.6561024997,-73.7640678608,,New York City Department of Citywide Administrative Services,public,4134330002,0.030991735537245000
150 ROAD,,NY,11434,40.6559959556,-73.763874945,,New York City Department of Citywide Administrative Services,public,4134330005,0.088383838383995000
150 ROAD,,NY,11434,40.6557967983,-73.7631364484,,New York City Department of Citywide Administrative Services,public,4134330020,0.075528007346323000
SPRINGFIELD BOULEVARD,,NY,11434,40.6556296376,-73.7632347806,,New York City Department of Citywide Administrative Services,public,4134330023,0.222681359045390000
SPRINGFIELD BLVD,,NY,11434,40.6549398853,-73.7636293688,,New York City Department of Citywide Administrative Services,public,4134330035,0.066574839302230000
MEMPHIS AVENUE,,NY,11422,40.6588657603,-73.7324294133,,New York City Department of Citywide Administrative Services,public,4135860021,0.103305785124150000
258-18 FRANCIS LEWIS BOULEVARD,,NY,11422,40.6581696949,-73.7287758374,,New York City Department of Citywide Administrative Services,public,4136010015,0.068411386593326000
0  148 DRIVE,,NY,11422,40.6535909143,-73.747581835,,New York City Department of Citywide Administrative Services,public,4137350005,0.078971533517128000
0 235 STREET,,NY,11422,40.653776814,-73.7477092982,,New York City Department of Citywide Administrative Services,public,4137350013,0.144628099173810000
100 STREET,,NY,11414,40.6650569692,-73.834106163,,New York City Department of Citywide Administrative Services,public,4141430055,0.008034894398545000
158 AVENUE,,NY,11414,40.6610114169,-73.8386320576,,New York City Department of Citywide Administrative Services,public,4141630014,0.114784205693500000
HAWTREE BASIN,,NY,,40.6550153925,-73.8320544285,,New York City Department of Citywide Administrative Services,public,4142310766,0.068870523416100000
HAWTREE BASIN,,NY,,40.6551762804,-73.8318848597,,New York City Department of Citywide Administrative Services,public,4142310770,0.045913682277400000
160 AVENUE,,NY,11414,40.6584991775,-73.830597252,,New York City Department of Citywide Administrative Services,public,4142340292,0.132162534435495900
160 AVENUE,,NY,11414,40.6578839634,-73.8295335602,,New York City Department of Citywide Administrative Services,public,4142340305,0.207323232323599700
HAWTREE CREEK R,,NY,11414,40.6569315287,-73.8296185392,,New York City Department of Citywide Administrative Services,public,4142340503,0.058769513315072000
HAWTREE CREEK R,,NY,11414,40.657257254,-73.8296707417,,New York City Department of Citywide Administrative Services,public,4142340511,0.069651056014815800
HAWTREE CREEK R,,NY,11414,40.6573494974,-73.8292831505,,New York City Department of Citywide Administrative Services,public,4142340517,0.043273645546449500
HAWTREE CREEK R,,NY,11414,40.6575401017,-73.8293375657,,New York City Department of Citywide Administrative Services,public,4142340521,0.080922865013917500
HAWTREE CREEK R,,NY,11414,40.657617232,-73.8293697402,,New York City Department of Citywide Administrative Services,public,4142340523,0.067607897153471500
HAWTREE CREEK R,,NY,11414,40.6576601047,-73.8295917134,,New York City Department of Citywide Administrative Services,public,4142340526,0.064462809917469600
RUSSELL STREET,,NY,11414,40.6565206007,-73.8289697085,,New York City Department of Citywide Administrative Services,public,4142340875,0.275482093664400000
RUSSELL STREET,,NY,11414,40.6562050934,-73.8290578486,,New York City Department of Citywide Administrative Services,public,4142381054,0.080808080808224000
DAVENPORT COURT,,NY,11414,40.6534686563,-73.8302261193,,New York City Department of Citywide Administrative Services,public,4142431116,0.040082644628170200
DAVENPORT COURT,,NY,11414,40.653320934,-73.8297691153,,New York City Department of Citywide Administrative Services,public,4142431169,0.034894398530824000
LOCKWOOD COURT,,NY,11414,40.6503643016,-73.8293684843,,New York City Department of Citywide Administrative Services,public,4142521795,0.073002754821066000
LOCKWOOD COURT,,NY,11414,40.6502884707,-73.8289635073,,New York City Department of Citywide Administrative Services,public,4142522792,0.003741965105608100
104 STREET,,NY,11414,40.6520307855,-73.8277433342,,New York City Department of Citywide Administrative Services,public,4142531513,0.524563820019295000
104 STREET,,NY,11414,40.6519499373,-73.8277228215,,New York City Department of Citywide Administrative Services,public,4142531514,0.073461891643840000
16424 104 STREET,,NY,11414,40.6516003085,-73.8276356352,,New York City Department of Citywide Administrative Services,public,4142541638,0.036730945821920000
104 STREET,,NY,11414,40.6516531524,-73.8276497277,,New York City Department of Citywide Administrative Services,public,4142541639,0.036730945821920000
104 STREET,,NY,11414,40.6515472751,-73.8276232102,,New York City Department of Citywide Administrative Services,public,4142542037,0.036730945821920000
104 STREET,,NY,11414,40.6506039507,-73.8273738952,,New York City Department of Citywide Administrative Services,public,4142551767,0.073461891643840000
165 AVENUE,,NY,11414,40.6504155545,-73.8281034062,,New York City Department of Citywide Administrative Services,public,4142552780,0.025780532598760100
165TH AVENUE,,NY,11414,40.6503943495,-73.8282457645,,New York City Department of Citywide Administrative Services,public,4142552781,0.008838383838399500
165 AVENUE,,NY,11414,40.6503480833,-73.8285624973,,New York City Department of Citywide Administrative Services,public,4142552783,0.040082644628170200
313 WEST 112 STREET,,NY,10026,40.8023484493,-73.9578118711,,New York City Department of Housing Preservation and Development,public,1018470013,0.038613406795293400
2139 7 AVENUE,,NY,10027,40.8100017934,-73.9470564785,,New York City Department of Housing Preservation and Development,public,1019110061,0.057392102846750000
2135-37 7 AVENUE,,NY,10027,40.809881067,-73.9471468847,,New York City Department of Housing Preservation and Development,public,1019110062,0.171992653811140400
306 WEST 127 STREET,,NY,10027,40.811526838,-73.9509531485,,New York City Department of Housing Preservation and Development,public,1019530038,0.055371900826544400
130 W134 ST,,NY,10030,40.8140100479,-73.9433033791,,New York City Department of Housing Preservation and Development,public,1019180053,0.068824609733822600
WILLOWBROOK RD,,NY,10302,40.6243095232,-74.1443857334,,New York City Department of Citywide Administrative Services,public,5014760078,0.091827364554800000
KILL VAN KULL,,NY,10301,40.6482271216,-74.0873635807,,New York City Department of Citywide Administrative Services,public,5000020778,0.499311294766725000
7 HIGHVIEW AVENUE,,NY,10301,40.6446056645,-74.0896554028,,New York City Department of Citywide Administrative Services,public,5000590051,0.032139577594180000
LOCKMAN AVE,,NY,10303,40.6339613219,-74.1612065469,,New York City Department of Citywide Administrative Services,public,5012360117,0.089531680440930000
KILL VAN KULL,,NY,10301,40.648086317,-74.0876734955,,New York City Department of Citywide Administrative Services,public,5000020775,0.172176308540250000
KILL VAN KULL,,NY,10301,40.6487452613,-74.0852079038,,New York City Department of Citywide Administrative Services,public,5000020800,2.169329660242595200
KILL VAN KULL,,NY,10301,40.648497352,-74.086709031,,New York City Department of Citywide Administrative Services,public,5000020801,0.941942148761999700
230 YORK AVE,,NY,10301,40.6407000384,-74.0881966915,,New York City Department of Citywide Administrative Services,public,5000530117,0.092470156106683600
JOHN ST,,NY,10302,40.6355282139,-74.1438906217,,New York City Department of Citywide Administrative Services,public,5011240070,0.029843893480310000
KINGSLEY AVE,,NY,10314,40.6219376505,-74.1258597568,,New York City Department of Citywide Administrative Services,public,5003630003,0.082644628099320000
0 MANOR ROAD,,NY,10314,40.6150001089,-74.1239944755,,New York City Department of Citywide Administrative Services,public,5003700099,0.009136822773202600
SEWARD PL,,NY,10314,40.6144573139,-74.1348132154,,New York City Department of Citywide Administrative Services,public,5004580013,0.068939393939516100
DRYDEN CT,,NY,10302,40.62880219,-74.1330831616,,New York City Department of Citywide Administrative Services,public,5010390365,0.010651974288356800
JOHN ST,,NY,10302,40.6357679783,-74.1436717517,,New York City Department of Citywide Administrative Services,public,5011240036,0.057392102846750000
EATON PL,,NY,10302,40.6357176156,-74.1441162621,,New York City Department of Citywide Administrative Services,public,5011240025,0.021349862258991000
0 HARBOR ROAD,,NY,10303,40.6339484171,-74.1605730805,,New York City Department of Citywide Administrative Services,public,5012360173,0.057966023875217500
AMITY PL,,NY,10303,40.6258932357,-74.1615826487,,New York City Department of Citywide Administrative Services,public,5016850127,0.073921028466614000
25 LILAC CT,,NY,10303,40.6268891405,-74.1681232017,,New York City Department of Citywide Administrative Services,public,5017070032,0.055096418732880000
BLOOMFIELD AV,,NY,10314,40.6124828851,-74.1876058586,,New York City Department of Citywide Administrative Services,public,5017800095,3.400000000006024800
OAKLAND TERRACE,,NY,,40.6202033421,-74.087673469,community garden,New York City Department of Citywide Administrative Services,public,5006160060,6.083562901755500000
FLETCHER STREET,,NY,10305,40.6117568754,-74.0748050504,,New York City Department of Citywide Administrative Services,public,5029750027,0.084251606979029000
199 YORK STREET,,NY,11201,40.70148849809069,-73.9826301828299,community green space,New York City Department of Parks and Recreation,public,3000560037,0.059389348025816900
        DAVENPORT COURT,,NY,11414,40.6535327703891,-73.8283578457641,,New York City Department of Citywide Administrative Services,public,4142461189,0.073461891643840000
        104 STREET,,NY,11414,40.6517040340099,-73.8276624785924,,New York City Department of Citywide Administrative Services,public,4142541640,0.036730945821920000
        104 STREET,,NY,11414,40.6520846830521,-73.8277570161392,,New York City Department of Citywide Administrative Services,public,4142531512,0.036730945821920000
E 159th St between St Ann's & Eagle Ave,,NY,10456,40.8210995601149,-73.9094058767447,,New York City Department of Transportation,public,6000020001,0.150181129476850143
        GRAND STREET,,NY,11211,40.713784184216884,-73.95893565832318,community garden,New York City Department of Parks and Recreation,public,3023820028,0.041184573002827800
        COLUMBIA STREET,,NY,11231,40.6813867111,-74.0041895275,community green space,New York City Department of Parks and Recreation,public,3003630007,0.030716253443580600
00667 CAULDWELL AVENUE,,NY,10455,40.8171286347,-73.9097594806,,New York City Department of Housing Preservation and Development,public,2026240073,0.066000918273762500
599 BROOK AVENUE,,NY,10455,40.8167262414175,-73.9147890221931,,New York City Department of Housing Preservation and Development,public,2023610001,0.960583103766624100
1900 MARMION AVENUE,,NY,10460,40.8420860241,-73.887545543,,New York City Department of Housing Preservation and Development,public,2029600021,0.055440771349960500
163-10 SOUTH ROAD,,NY,11433,40.6997829694,-73.7931307872,,New York City Department of Housing Preservation and Development,public,4101610003,0.111685032139775500
        WALTON STREET,,NY,11206,40.701909565615,-73.9500455996066,,New York City Department of Housing Preservation and Development,public,3022450149,0.041620752984463100
340 TOMPKINS AVENUE,,NY,11216,40.6859681428571,-73.944543,community garden,New York City Department of Parks and Recreation,public,3018190043,0.039026629935790000
        ATLANTIC AVENUE,,NY,11233,40.6759743077,-73.9096584602,,New York City Department of Housing Preservation and Development,public,3014350022,0.038269054178212900
2156 ATLANTIC AVENUE,,NY,11233,40.6762777028,-73.9151955918,,New York City Department of Housing Preservation and Development,public,3014330023,0.229568411387000000
3269 ATLANTIC AVENUE,,NY,11208,40.6809766722,-73.8758111555,,New York City Economic Development Corporation,public,3041420032,1.863521579433972500
        BAINBRIDGE STREET,,NY,11233,40.6813217637,-73.9259117659,,New York City Department of Housing Preservation and Development,public,3016870047,0.058654729109378500
        PUTNAM AVENUE,,NY,11216,40.6832908743,-73.9544402891,,New York City Department of Housing Preservation and Development,public,3019960025,0.030601469237887100
467 LIVONIA AVENUE,,NY,11207,40.6640815663,-73.9001586552,,New York City Department of Housing Preservation and Development,public,3037990048,0.045913682277400000
461 NEW JERSEY AVENUE,,NY,11207,40.66813,-73.893586,,New York City Department of Housing Preservation and Development,public,3037730056,0.045913682277400000
727 FOREST AVE,,NY,10456,40.8198482153,-73.9057815488,,New York City Department of Housing Preservation and Development,public,2026470030,0.064623507805440500
3341 3 AVE,,NY,10456,40.8267117366,-73.9079181434,,New York City Department of Housing Preservation and Development,public,2023700143,0.028007346189214000
12 CLARKE PLACE,,NY,10452,40.8379290897,-73.9184697509,parking lot,New York City Department of Housing Preservation and Development,public,2028390010,0.242883379247446000
0 CHISHOLM STREET,,NY,10459,40.831066324,-73.8960390835,,New York City Department of Housing Preservation and Development,public,2029710039,0.054522497704412500
HOE AVE,,NY,,40.8310177082,-73.8901228088,,New York City Department of Housing Preservation and Development,public,2029870014,0.057392102846750000
959 HOME STREET,,NY,10459,40.8287038795,-73.891535707,,New York City Department of Housing Preservation and Development,public,2029790001,0.071418732782495700
453 EAST 142 STREET,,NY,10454,40.8111520407,-73.9192738708,,New York City Department of Housing Preservation and Development,public,2022870071,0.172176308540250000
RIVERSIDE DRIVE,,NY,10031,40.8207024682,-73.9579808849,,New York City Department of Citywide Administrative Services,public,1020010002,0.015289256198374200
1665 PARK AVENUE,,NY,10035,40.8000855162,-73.9422063934,community garden,New York City Department of Parks and Recreation,public,1016450003,0.104338842975391500
27-006A 94 AVENUE,,NY,11419,40.6957477732,-73.8207201543,,New York City Department of Citywide Administrative Services,public,4094440003,0.005050505050514000
5416-18 101 STREET,,NY,11368,40.7400353434,-73.8587549798,,New York City Department of Housing Preservation and Development,public,4019390011,0.275482093664400000
230 STREET,,NY,11363,40.7652619718,-73.7536495931,,New York City Department of Citywide Administrative Services,public,4080830200,12.405578512418676900
COLLEGE AVE,,NY,10314,40.621266503299985,-74.12574366059998,,New York City Department of Citywide Administrative Services,public,5003640031,0.114784205693500000
567 BARBEY STREET,,NY,11207,40.668615612988134,-73.88646841049194,community garden,New York City Department of Parks and Recreation,public,3040610018,0.275482093664400000
        EAST 92 STREET,,NY,11212,40.6621727006,-73.9280164481,,New York City Department of Citywide Administrative Services,public,3045940050,0.006588613406806900
        EAST 95 STREET,,NY,11212,40.6539596431,-73.9148455454,,New York City Department of Citywide Administrative Services,public,3047160016,0.010560146923802000
2528 ATLANTIC AVENUE,,NY,11207,40.6752892575,-73.9010395513,community garden,New York City Department of Citywide Administrative Services,public,3036820027,0.045913682277400000
        EAST NEW YORK AVENUE,,NY,0,40.6719195904,-73.912096024,,New York City Department of Citywide Administrative Services,public,3014650042,0.030486685032193600
45 SOMERS STREET,,NY,11233,40.678928,-73.911631,,New York City Department of Citywide Administrative Services,public,3015380043,0.156106519743160000
1541 ST MARK'S AVENUE,,NY,11233,40.673611,-73.916186,,New York City Department of Citywide Administrative Services,public,3014530073,0.122199265381300100
        LINDEN BOULEVARD,,NY,0,40.6540397909,-73.9169323009,,New York City Department of Citywide Administrative Services,public,3047140048,0.002295684113870000
        EMERALD STREET,,NY,11208,40.6641397857,-73.858118604,,New York City Department of Citywide Administrative Services,public,3045570022,1.641414141417050000
        EAST 94 STREET,,NY,11236,40.654004497,-73.9161212926,,New York City Department of Citywide Administrative Services,public,3047150025,0.011294765840240400
        WORTMAN AVENUE,,NY,11208,40.6646784924,-73.8582493244,,New York City Department of Citywide Administrative Services,public,3045570001,1.136707988982730500
        ESSEX STREET,,NY,11208,40.6797820853,-73.8830890007,,New York City Department of Citywide Administrative Services,public,3039560059,0.225734618916837100
9 MOFFAT STREET,,NY,11207,40.68348972431893,-73.91046881675719,community garden,New York City Department of Parks and Recreation,public,3034380063,0.038269054178212900
        LINDEN BOULEVARD,,NY,11212,40.6544454452,-73.9148124894,,New York City Department of Citywide Administrative Services,public,3047160022,0.001147842056935000
511 LIBERTY AVENUE,,NY,11207,40.6754584674,-73.8908656306,,New York City Department of Citywide Administrative Services,public,3039620034,0.057392102846750000
        HINSDALE STREET,,NY,11207,40.6748451976,-73.9017323883,,New York City Department of Citywide Administrative Services,public,3036810036,0.045913682277400000
        ROYCE STREET,,NY,11234,40.6258541574,-73.9095043324,,New York City Department of Citywide Administrative Services,public,3083730030,0.622130394858770000
        EAST 48 STREET,,NY,11234,40.6215723042,-73.9286437271,,New York City Department of Citywide Administrative Services,public,3078460011,0.082529843893626500
168 MULBERRY STREET,,NY,10013,40.7197969992272,-73.9968398164826,,New York City Department of Housing Preservation and Development,public,1004710031,0.115404040404244900
        BERGEN COURT,,NY,11234,40.6264023964,-73.9103509143,,New York City Department of Citywide Administrative Services,public,3083620038,0.001492194674015500
        ROYCE STREET,,NY,11234,40.6236759395,-73.907853517,,New York City Department of Citywide Administrative Services,public,3083740201,0.298438934803100000
